iter	Logloss
0	0.642041374
1	0.5987559616
2	0.5716402791
3	0.5561761073
4	0.5415029642
5	0.5318793248
6	0.5235798634
7	0.5164614657
8	0.5108211378
9	0.5041524014
10	0.4981286141
11	0.4935468326
12	0.4889494571
13	0.4847360284
14	0.4817112074
15	0.4779064736
16	0.4743454562
17	0.4727943767
18	0.4687860306
19	0.4668536486
20	0.4646823166
21	0.4614134435
22	0.4586231899
23	0.4570787693
24	0.4541937595
25	0.4512466967
26	0.4500555624
27	0.447139625
28	0.4441605056
29	0.4411631915
30	0.4382883239
31	0.4367854035
32	0.4358198207
33	0.4337234326
34	0.4308462259
35	0.4277034176
36	0.4261860893
37	0.4248410992
38	0.4230026062
39	0.420684296
40	0.4184775532
41	0.4164464146
42	0.4139446416
43	0.4132768096
44	0.4112510817
45	0.4097531581
46	0.4086406147
47	0.407008118
48	0.4040737517
49	0.4024828791
50	0.4006426294
51	0.3998600192
52	0.3988156973
53	0.3974285368
54	0.3951790222
55	0.3933489922
56	0.3916360993
57	0.3907571449
58	0.3895216105
59	0.3873947072
60	0.3860269623
61	0.3839551427
62	0.3830426418
63	0.3810904565
64	0.3793690617
65	0.3778319372
66	0.3768207099
67	0.3750585672
68	0.3739815523
69	0.3722814272
70	0.3705890924
71	0.369238938
72	0.3685695699
73	0.3673696029
74	0.3651731879
75	0.3634284315
76	0.3625306738
77	0.3607421399
78	0.358833653
79	0.3574391993
80	0.3560597233
81	0.3549165306
82	0.3541039196
83	0.3530616504
84	0.3504139686
85	0.3479114752
86	0.3463957373
87	0.3447902656
88	0.3428291321
89	0.3424517224
90	0.3416652667
91	0.3412826759
92	0.3411041113
93	0.3406441361
94	0.339305622
95	0.3388658789
96	0.3387282145
97	0.3368331915
98	0.3365428397
99	0.3364537813
100	0.3346261084
101	0.3336252709
102	0.3335170069
103	0.3318639138
104	0.3293826412
105	0.3283823895
106	0.3275608333
107	0.3263444892
108	0.3262954458
109	0.3247922615
110	0.3237903956
111	0.3229613142
112	0.3224989909
113	0.3208349409
114	0.319933325
115	0.3192067798
116	0.3173029806
117	0.3155941117
118	0.3143653319
119	0.3140674133
120	0.3127339675
121	0.310911821
122	0.3104515225
123	0.3089497868
124	0.3077040558
125	0.3070964081
126	0.3057512425
127	0.3052590356
128	0.3035973274
129	0.3029137534
130	0.3028623709
131	0.3014083468
132	0.3012547397
133	0.3011947326
134	0.3007073309
135	0.2994003057
136	0.2992211213
137	0.2991974306
138	0.2976363254
139	0.296306776
140	0.2962086322
141	0.2945045694
142	0.2931641322
143	0.2923197976
144	0.291621332
145	0.2913112524
146	0.2905357353
147	0.2905242969
148	0.2886056596
149	0.2875253314
150	0.286375922
151	0.2857989071
152	0.2842072778
153	0.2838312223
154	0.2835278667
155	0.2821684991
156	0.2818740081
157	0.2810136055
158	0.2795560155
159	0.2785179329
160	0.2775725503
161	0.2771205273
162	0.276939711
163	0.2763794619
164	0.2753420792
165	0.2752116612
166	0.274406201
167	0.273679552
168	0.2728239598
169	0.2727456127
