iter	Passed	Remaining
0	48	8228
1	61	5194
2	90	5035
3	115	4784
4	136	4495
5	154	4232
6	172	4022
7	192	3891
8	211	3788
9	231	3697
10	250	3626
11	270	3557
12	290	3513
13	310	3458
14	330	3414
15	349	3367
16	369	3321
17	373	3150
18	393	3131
19	414	3105
20	433	3078
21	456	3068
22	476	3047
23	495	3012
24	513	2978
25	532	2947
26	551	2921
27	571	2897
28	589	2866
29	608	2840
30	627	2811
31	645	2785
32	664	2759
33	684	2736
34	701	2706
35	725	2700
36	744	2676
37	762	2649
38	781	2623
39	799	2599
40	818	2574
41	836	2547
42	855	2526
43	874	2505
44	894	2484
45	913	2461
46	932	2439
47	949	2413
48	968	2391
49	987	2370
50	1007	2351
51	1027	2331
52	1047	2312
53	1068	2294
54	1088	2275
55	1107	2254
56	1125	2231
57	1144	2210
58	1163	2189
59	1182	2167
60	1201	2147
61	1221	2126
62	1241	2108
63	1260	2087
64	1280	2068
65	1300	2049
66	1319	2029
67	1338	2008
68	1358	1988
69	1377	1967
70	1396	1947
71	1414	1925
72	1435	1906
73	1453	1885
74	1471	1864
75	1490	1843
76	1508	1821
77	1527	1802
78	1549	1785
79	1570	1766
80	1589	1746
81	1614	1732
82	1635	1714
83	1657	1697
84	1682	1682
85	1703	1664
86	1725	1646
87	1747	1628
88	1768	1609
89	1793	1594
90	1813	1574
91	1834	1555
92	1853	1534
93	1872	1513
94	1892	1494
95	1912	1474
96	1934	1455
97	1953	1435
98	1975	1416
99	1994	1395
100	2013	1375
101	2036	1357
102	2058	1338
103	2079	1319
104	2099	1299
105	2118	1279
106	2139	1259
107	2159	1239
108	2181	1221
109	2202	1201
110	2223	1181
111	2245	1162
112	2264	1142
113	2285	1122
114	2305	1102
115	2323	1081
116	2342	1061
117	2361	1040
118	2380	1020
119	2398	999
120	2437	987
121	2475	974
122	2514	960
123	2551	946
124	2581	929
125	2605	909
126	2625	888
127	2645	867
128	2664	846
129	2682	825
130	2702	804
131	2720	783
132	2742	762
133	2762	742
134	2782	721
135	2801	700
136	2821	679
137	2840	658
138	2859	637
139	2878	616
140	2896	595
141	2917	575
142	2938	554
143	2957	534
144	2976	513
145	2994	492
146	3012	471
147	3016	448
148	3037	428
149	3057	407
150	3076	387
151	3094	366
152	3113	345
153	3134	325
154	3153	305
155	3172	284
156	3194	264
157	3212	244
158	3231	223
159	3251	203
160	3270	182
161	3290	162
162	3309	142
163	3331	121
164	3350	101
165	3370	81
166	3389	60
167	3408	40
168	3427	20
169	3447	0
